,Anio,FBKF.Construcciones.Priv_Publ,FBKF.Equi_Dur_Prod.Mat_Transp.Nac,FBKF.Equi_Dur_Prod.Mat_Transp.Import,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import,Consumo.Hogares,Consumo.Gobierno,Exportaciones,Importaciones,GIB,FKBF,EXPO_TOT_2004,EXPO_AGROP_2004,EXPO_PAMP_2004,EXPO_PECUAR_2004,EXPO_CARNES_2004,EXPO_LECHE_2004,EXPO_LANAS_2004,EXPO_CUEROS_PP_2004,EXPO_AGRIC_2004,EXPO_CEREAL_2004,EXPO_OLEAGI_2004,EXPO_OTAGRIC_2004,EXPO_PESCA_2004,EXPO_INDUST_2004,EXPO_ALIMENT_2004,EXPO_TEXTIL_2004,EXPO_CUEROIND_2004,EXPO_PAPEL_2004,EXPO_CAUCHO_2004,EXPO_QUIMICO_2004,EXPO_COMBIUST_2004,EXPO_HIERRO_2004,EXPO_METNOFERR_2004,EXPO_MAQUIN_2004,EXPO_RESTOIND_2004,Consumo.Hogares.ipi.demanda,Consumo.Gobierno.ipi.demanda,FBKF.Construcciones.Priv_Publ.ipi.demanda,FBKF.Equi_Dur_Prod.Mat_Transp.Nac.ipi.demanda,FBKF.Equi_Dur_Prod.Mat_Transp.Import.ipi.demanda,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac.ipi.demanda,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import.ipi.demanda,Exportaciones.ipi.demanda,Importaciones.ipi.demanda,GIB.ipi.demanda,FBKF.Construcciones.Priv_Publ.ipi.inversion,FBKF.Equi_Dur_Prod.Mat_Transp.Nac.ipi.inversion,FBKF.Equi_Dur_Prod.Mat_Transp.Import.ipi.inversion,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac.ipi.inversion,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import.ipi.inversion,FKBF.ipi.inversion,Agricultura_caza_silvicultura_y_pesca,Explotacion_de_minas_y_canteras,Industria_manufacturera,Electricidad_gas_y_agua,Construccion,Comercio_hoteles_y_restaurantes,Transp_Almac_y_Comunics,Inter_Fin_Seg_Activ_Inmo_Serv_Empr_etc,Servs_Socs_Comunales_Y_Personales,Impuesto_Prod_Netos_De_Subsid,PBI_a_precios_de_mercado,Agricultura_caza_silvicultura_y_pesca.oferta,Explotacion_de_minas_y_canteras.oferta,Industria_manufacturera.oferta,Electricidad_gas_y_agua.oferta,Construccion.oferta,Comercio_hoteles_y_restaurantes.oferta,Transp_Almac_y_Comunics.oferta,Inter_Fin_Seg_Activ_Inmo_Serv_Empr_etc.oferta,Servs_Socs_Comunales_Y_Personales.oferta,Impuesto_Prod_Netos_De_Subsid.oferta,PBI_a_precios_de_mercado.oferta,Vol_PIB_perCap,Vol_Consumo_Hogares_Per_Cap,Vol_FBKF_perCap,PIB_perCap__variPorc,Vol_Cons_Hogares_per_Cap__vari_Porc,Vol_FBKF_perCap__variPorc,Vol_PIB_encaden_Fisher_2004,IPI_volumen,IPI__variPorc
1,1950,20353627362,668586865.2,584400198.1,3119383475,863112352.4,1.04656E+11,21706316451,10729585056,14039465296,1.42098E+11,21846204463,4153783.627,3707073.434,3448244.055,1655596.73,525381.0008,50113.29261,228419.4312,687335.9469,2126566.553,1090373.376,951807.197,NA,NA,442902.1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49E-14,3.14E-14,4.69E-14,7.66E-14,2.87E-14,5.77E-14,1.40E-13,5.97E-14,4.08E-14,4.76E-14,4.69E-14,7.66E-14,2.87E-14,5.77E-14,1.40E-13,6.06E-14,6.54E-14,4.06E-14,5.39E-14,3.33E-13,6.57E-14,4.79E-14,7.17E-14,2.38E-14,4.79E-14,2.56E-14,4.76E-14,13696637358,1452011417,32304751942,198218385.1,5918090281,25281650565,7262970408,19550757718,21743658464,14697709118,1.42098E+11,8230.718755,6061.927168,1265.389774,NA,NA,NA,1.42098E+11,0.292916987,NA
2,1951,21739314091,842740199.7,2532757698,3562534310,1292775007,1.10538E+11,21767097618,8455493993,15744444593,1.47436E+11,25430729351,3948117.598,3365001.547,2727632.024,1244421.72,528718.0992,35742.4277,84971.12219,376887.0529,2385491.3,837814.1764,1029472.962,300774.3022,NA,574863.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41E-14,4.08E-14,5.80E-14,1.07E-13,3.40E-14,7.72E-14,1.56E-13,9.70E-14,6.40E-14,6.58E-14,5.80E-14,1.07E-13,3.40E-14,7.72E-14,1.56E-13,7.52E-14,9.73E-14,3.73E-14,7.19E-14,3.57E-13,8.23E-14,6.93E-14,9.42E-14,3.04E-14,6.26E-14,4.65E-14,6.58E-14,14629457210,1686941522,33149279696,212725994.5,6060937395,26260862055,7534071597,19902737804,22368440435,15394949124,1.47436E+11,8360.967138,6268.494407,1442.153759,0.015824667,0.034076166,0.139691334,1.47436E+11,0.303919726,0.037562652
3,1952,19685428171,1119084065,1484421674,3440750327,1088415946,1.05108E+11,21455589059,6224082425,11637586183,1.40491E+11,23271422029,2447650.645,2141092.467,1922780.844,1233008.191,437429.7875,22083.59824,169482.5044,458109.9991,740707.1431,240210.125,131971.5183,124668.803,NA,303047.9543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90E-14,5.23E-14,7.26E-14,1.37E-13,3.45E-14,9.07E-14,1.63E-13,9.96E-14,8.16E-14,7.99E-14,7.26E-14,1.37E-13,3.45E-14,9.07E-14,1.63E-13,9.13E-14,1.23E-13,4.79E-14,8.85E-14,4.13E-13,1.02E-13,8.08E-14,1.28E-13,3.54E-14,8.07E-14,4.28E-14,7.99E-14,12545616104,1794762161,32522906863,227896262.1,5571363747,24417324287,7017131008,20598804008,22577377299,14648699492,1.40491E+11,7806.866125,5840.680245,1293.154332,-0.066272359,-0.068248312,-0.103317296,1.40491E+11,0.289603908,-0.047103945
4,1953,20237375978,1207890913,1459988875,3621895632,886926719.5,1.06403E+11,20742065172,9619869463,9626750804,1.47324E+11,23683145000,3387116.343,3129112.876,3022660.709,1480721.1,574908.2296,93375.21889,239993.1117,447293.3505,1648391.776,1118368.394,423571.215,106452.1667,NA,258003.4679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65E-14,6.05E-14,7.56E-14,1.47E-13,4.15E-14,9.82E-14,1.48E-13,8.91E-14,6.38E-14,8.79E-14,7.56E-14,1.47E-13,4.15E-14,9.82E-14,1.48E-13,9.52E-14,1.43E-13,4.57E-14,9.94E-14,4.37E-13,1.05E-13,8.02E-14,1.40E-13,3.96E-14,9.03E-14,5.19E-14,8.79E-14,16402296333,1925706862,32341045582,242404260.9,5546340195,24009746257,7210541490,20716225895,23072219963,15257871308,1.47324E+11,8027.665603,5797.868309,1290.488829,0.028282729,-0.007329957,-0.002061241,1.47324E+11,0.303689321,0.04863682
5,1954,19372130307,1173451578,805900196.4,4121320340,783079946.5,1.14392E+11,21238933697,10201623290,12506287869,1.53316E+11,23014992961,3838068.667,3655832.999,3589295.788,1352010.736,561789.241,91795.66243,151673.0729,422035.6698,2303822.263,1805942.104,431342.9478,66537.21078,NA,182235.6686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11E-14,6.94E-14,8.57E-14,1.55E-13,4.04E-14,1.02E-13,1.36E-13,8.11E-14,6.18E-14,9.36E-14,8.57E-14,1.55E-13,4.04E-14,1.02E-13,1.36E-13,1.04E-13,1.47E-13,5.89E-14,1.06E-13,5.00E-13,1.22E-13,8.45E-14,1.48E-13,4.44E-14,1.01E-13,4.55E-14,9.36E-14,16308747029,2037374129,34903529762,263839496.4,5308705373,25492912808,7558082163,21278479393,23797814592,16078311792,1.53316E+11,8196.878491,6115.886428,1230.475866,0.021078717,0.05485087,-0.046504054,1.53316E+11,0.3160395,0.040667149
6,1955,19934884939,1511471158,872767937.1,5242797875,1182263384,1.23934E+11,22773188849,9102923830,14895127792,1.63902E+11,25600379985,3453040.644,3256537.494,3183777.001,1698367.43,798407.0681,97037.36486,172237.5806,488026.3959,1558170.064,1297031.83,188377.7408,72760.49291,NA,196503.1497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-13,7.80E-14,9.51E-14,1.87E-13,5.30E-14,1.10E-13,1.33E-13,1.04E-13,7.67E-14,1.03E-13,9.51E-14,1.87E-13,5.30E-14,1.10E-13,1.33E-13,1.16E-13,1.55E-13,6.14E-14,1.22E-13,5.78E-13,1.33E-13,9.41E-14,1.55E-13,5.02E-14,1.13E-13,4.81E-14,1.03E-13,16981291187,2118299446,39174291721,283961747.2,5442816307,28002631304,7948570705,22171732366,24231723108,17160086373,1.63902E+11,8602.104571,6504.466855,1343.590034,0.049436634,0.06353624,0.091927173,1.63902E+11,0.337862101,0.069050232
7,1956,20298654544,1457046384,1640862771,6334293972,1129545866,1.21964E+11,24559294215,10464721876,13350223127,1.6861E+11,27240381714,3963145.064,3751420.456,3683953.643,2260902.019,1168834.674,97284.34428,174683.2973,608269.6664,1490518.437,1182313.05,240738.5733,67466.81311,NA,211724.6079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34E-13,8.84E-14,1.19E-13,2.11E-13,1.15E-13,1.29E-13,1.92E-13,2.25E-13,1.94E-13,1.32E-13,1.19E-13,2.11E-13,1.15E-13,1.29E-13,1.92E-13,1.45E-13,2.06E-13,8.01E-14,1.46E-13,6.77E-13,1.76E-13,1.26E-13,2.15E-13,5.73E-14,1.30E-13,8.13E-14,1.32E-13,16205390550,2172199353,41889147826,308694904.8,5280181747,29253637226,7980867765,22707078679,25318092191,17621653893,1.6861E+11,8691.383479,6286.895502,1404.165768,0.010378729,-0.033449529,0.045084983,1.6861E+11,0.347567246,0.028725167
8,1957,22249994812,1831509817,2890109441,7165113665,772526458.5,1.29059E+11,23461466820,11016361378,14846905767,1.77373E+11,30376962494,4313592.949,4057748.139,3949550.77,2340672.761,1278723.118,100740.3968,139317.701,624485.5831,1717075.378,1189490.237,419387.7711,108197.3696,NA,255844.8102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65E-13,1.00E-13,1.30E-13,2.67E-13,1.92E-13,1.51E-13,5.60E-13,2.45E-13,2.29E-13,1.61E-13,1.30E-13,2.67E-13,1.92E-13,1.51E-13,5.60E-13,1.80E-13,2.65E-13,9.69E-14,1.74E-13,6.58E-13,1.91E-13,1.56E-13,2.78E-13,6.98E-14,1.52E-13,1.06E-13,1.61E-13,16126014586,2322398314,45196996167,320906318.7,6198620591,31172663151,8414522296,22917370001,25874094797,18789989127,1.77373E+11,8985.013085,6537.611952,1538.777389,0.033783989,0.039879214,0.095865904,1.77373E+11,0.365630474,0.051970456
9,1958,25655101237,1943224825,960578873.1,7963324675,1135540214,1.37386E+11,23448678721,11366172433,15510012214,1.88127E+11,32783431583,4555893.276,4361338.205,4298964.73,2291713.005,1295979.484,83625.35526,172721.0463,583439.2559,2069625.2,1300971.661,706280.0646,62373.47509,NA,194555.0705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13E-13,1.61E-13,1.77E-13,3.44E-13,2.48E-13,1.91E-13,7.24E-13,2.93E-13,2.59E-13,2.14E-13,1.77E-13,3.44E-13,2.48E-13,1.91E-13,7.24E-13,2.38E-13,3.53E-13,1.33E-13,2.43E-13,1.10E-12,2.63E-13,2.08E-13,3.34E-13,9.00E-14,2.27E-13,8.99E-14,2.14E-13,16828078553,2488008807,48973273893,347611691.4,7356449954,32897363421,8857671040,23612833178,26223145766,20115590127,1.88127E+11,9369.254099,6842.206711,1632.705611,0.042764658,0.046591135,0.061040813,1.88127E+11,0.387798983,0.060630912
10,1959,19600367624,2057574702,695786000,7209835726,643027118.2,1.29282E+11,24416625513,11930624970,13792091077,1.76089E+11,25880003000,4337298.451,4119132.502,4027539.188,2026167.149,988149.4993,120729.0427,226316.1247,583047.1026,2092965.353,1491583.271,509788.7678,91593.31371,NA,218165.9494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45E-13,2.66E-13,3.24E-13,6.05E-13,5.20E-13,4.18E-13,2.15E-12,7.48E-13,6.16E-13,4.36E-13,3.24E-13,6.05E-13,5.20E-13,4.18E-13,2.15E-12,4.77E-13,8.29E-13,2.38E-13,5.01E-13,1.98E-12,4.97E-13,4.57E-13,6.43E-13,1.22E-13,4.03E-13,2.25E-13,4.36E-13,16657768096,2869424094,43914910176,354238329.1,5532553859,29240638738,8567049586,24180154071,26844688042,18564053568,1.76089E+11,8625.042204,6332.384041,1267.630697,-0.079431285,-0.074511439,-0.223601188,1.76089E+11,0.362984371,-0.063988336
11,1960,23590349980,5146434870,1373030719,8459576706,1889509013,1.31122E+11,27644297363,11950145961,16930030014,1.90021E+11,39437404279,4279335.648,4062788.329,3950743.816,1822242.364,836950.6887,137332.3168,218132.4516,499230.4788,2240545.964,1528719.991,599781.4599,112044.5129,NA,216547.3191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52E-13,3.35E-13,3.70E-13,7.26E-13,4.92E-13,4.90E-13,1.85E-12,8.57E-13,6.74E-13,5.33E-13,3.70E-13,7.26E-13,4.92E-13,4.90E-13,1.85E-12,5.27E-13,9.07E-13,2.60E-13,5.96E-13,3.03E-12,5.60E-13,5.30E-13,8.04E-13,1.62E-13,5.07E-13,4.17E-13,5.33E-13,16934621253,3955488333,48331111944,378628131.1,6610045903,33010797987,9095528146,25450541037,27637280394,19810121879,1.90021E+11,9156.258133,6318.197556,1900.310927,0.061589951,-0.002240307,0.499104536,1.90021E+11,0.391702918,0.079117861
12,1961,24664951203,6597934038,1201389859,9554421631,2725139130,1.43111E+11,27912560348,11044925442,20136579798,2.03559E+11,45794669672,4006396.982,3716232.127,3612168.507,1923088.041,841439.7,108504.1821,220113.7687,584082.828,1793144.086,971252.8236,717827.6423,104063.6203,NA,290164.8552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95E-13,4.28E-13,4.48E-13,7.69E-13,4.67E-13,5.24E-13,1.80E-12,8.49E-13,6.62E-13,5.89E-13,4.48E-13,7.69E-13,4.67E-13,5.24E-13,1.80E-12,5.81E-13,8.71E-13,3.07E-13,6.40E-13,3.64E-12,6.83E-13,5.51E-13,9.14E-13,2.01E-13,6.05E-13,5.40E-13,5.89E-13,16825127614,5173324005,53173481669,454478527.5,6994252805,36707468187,9697169872,26782233443,28601583130,20995228348,2.03559E+11,9651.954497,6785.742039,2171.399719,0.054137439,0.073999662,0.142654967,2.03559E+11,0.419609722,0.071244819
13,1962,22317304728,5728536739,2277023934,8037864945,2537411822,1.37845E+11,27517345319,15011204340,19430744419,2.00379E+11,41747512093,5606256.105,5093199.594,4960273.253,2314671.076,960203.0544,92943.41936,252672.6307,803070.1843,2778528.517,1795706.398,849895.7783,132926.3407,NA,513056.5116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42E-13,5.76E-13,5.86E-13,9.38E-13,5.72E-13,6.56E-13,2.48E-12,1.04E-12,9.23E-13,7.34E-13,5.86E-13,9.38E-13,5.72E-13,6.56E-13,2.48E-12,7.50E-13,1.13E-12,4.20E-13,8.13E-13,4.50E-12,8.84E-13,6.73E-13,1.20E-12,2.73E-13,7.69E-13,5.29E-13,7.34E-13,17505828024,5822368075,50239087182,517459978.3,6417043916,35258265541,9339589955,26449756277,29461081256,21105945234,2.00379E+11,9352.442519,6433.744132,1948.510344,-0.031031226,-0.051873164,-0.102647786,2.00379E+11,0.413055161,-0.015620611
14,1963,20905934123,4454742542,1546496350,7557503501,1828187185,1.34978E+11,25718261865,15335478487,15149318886,1.9591E+11,35809148205,5666895.404,4893891.962,4722587.2,2739356.934,1441260.46,92437.29799,231493.6606,721216.0722,2154535.028,1300044.547,683185.7193,171304.762,NA,773003.4425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.56E-13,6.75E-13,7.35E-13,1.11E-12,6.47E-13,7.74E-13,2.78E-12,1.36E-12,1.11E-12,9.32E-13,7.35E-13,1.11E-12,6.47E-13,7.74E-13,2.78E-12,9.00E-13,1.56E-12,6.17E-13,1.01E-12,5.95E-12,1.09E-12,8.65E-13,1.68E-12,3.24E-13,8.81E-13,6.74E-13,9.32E-13,17845159992,5807876430,48199907359,551097275.1,6040131324,32429774070,9106538731,27734647056,30068471447,20285932836,1.9591E+11,9003.138805,6203.002769,1645.627216,-0.037348929,-0.035864243,-0.155443429,1.9591E+11,0.403842105,-0.022304662
15,1964,22342653204,6356063469,537263547.3,9555074946,1597988056,1.54777E+11,25328640371,14283883294,17506064502,2.15618E+11,39783859095,5578287.864,4903029.575,4805256.865,1988380.997,1043366.108,83231.6686,176342.508,537256.238,2914648.578,2245037.277,571838.5905,97772.71045,NA,675258.2887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E-12,9.15E-13,8.91E-13,1.25E-12,5.85E-13,9.66E-13,2.79E-12,1.52E-12,1.15E-12,1.17E-12,8.91E-13,1.25E-12,5.85E-13,9.66E-13,2.79E-12,1.05E-12,2.25E-12,7.58E-13,1.23E-12,6.46E-12,1.35E-12,1.10E-12,2.01E-12,4.27E-13,1.10E-12,7.54E-13,1.17E-12,19090094202,5911391169,57285237871,603211457.2,6297465232,35413050572,10088941877,28125984620,31141095765,22403254405,2.15618E+11,9758.552227,7004.985885,1800.562751,0.083905562,0.129289498,0.094149838,2.15618E+11,0.444466629,0.100595068
16,1965,23138012760,7331922570,497531642,10589205964,1303719394,1.69722E+11,25804114463,15701259034,17338052633,2.34881E+11,41766192736,5960510.712,5444776.12,5314619.927,1824955.105,921613.1637,71282.60583,205992.7805,487935.6091,3619821.015,2664440.584,825224.2371,130156.1934,NA,515734.5922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48E-12,1.30E-12,1.27E-12,1.62E-12,6.21E-13,1.37E-12,3.70E-12,1.78E-12,1.37E-12,1.49E-12,1.27E-12,1.62E-12,6.21E-13,1.37E-12,3.70E-12,1.46E-12,2.55E-12,1.08E-12,1.58E-12,8.64E-12,1.89E-12,1.38E-12,2.49E-12,5.52E-13,1.47E-12,1.05E-12,1.49E-12,20221804594,6134571365,65189801954,695205340.3,6538491563,39052900543,11014047709,29343961548,32248929109,24538168727,2.34881E+11,10471.12148,7566.320384,1861.959367,0.073019976,0.080133566,0.034098571,2.34881E+11,0.484175722,0.089341
17,1966,24564918627,6552092383,762117985.5,10143170762,1801518448,1.66333E+11,27664959712,17313393019,16772620603,2.36854E+11,43012911467,6333634.225,5675922.707,5563724.31,2220807.382,1145566.341,62187.36377,239060.0066,575541.2284,3450986.575,2579153.985,763762.9424,108069.6482,4128.74942,657711.5172,12883.53829,1654.994312,6829.955277,67888.27841,2077.036887,97591.20006,311724.5197,44269.74411,806.4483641,75912.46076,36073.34104,1.81E-12,1.70E-12,1.63E-12,2.02E-12,6.80E-13,1.67E-12,3.85E-12,2.16E-12,1.68E-12,1.83E-12,1.63E-12,2.02E-12,6.80E-13,1.67E-12,3.85E-12,1.81E-12,2.85E-12,1.34E-12,1.84E-12,1.16E-11,2.48E-12,1.65E-12,3.48E-12,6.79E-13,1.88E-12,1.50E-12,1.83E-12,19466489953,6474193161,65622108260,749291946.1,6942386148,38841713642,11014726528,31382223840,33548384482,24253541842,2.36854E+11,10405.63658,7307.468193,1889.677445,-0.006253857,-0.034211106,0.014886511,2.36854E+11,0.488241776,0.008397889
18,1967,26684685396,6730998855,806204033.9,9530755677,2080169301,1.70657E+11,28238404177,17129208689,16839937831,2.43512E+11,45213187543,5835217.421,5254582.564,5111380.386,2410845.433,1198095.934,69107.8496,201213.9911,660760.9063,2839752.134,1906466.84,794068.1136,139217.1804,3984.998084,580634.8565,18538.07647,3279.867409,6921.544731,74308.0384,4467.941249,100669.0756,167739.9866,61943.90261,1986.348571,102067.2704,38712.80448,2.29E-12,2.10E-12,2.14E-12,2.46E-12,8.55E-13,2.08E-12,5.26E-12,3.26E-12,2.65E-12,2.32E-12,2.14E-12,2.46E-12,8.55E-13,2.08E-12,5.26E-12,2.32E-12,3.39E-12,1.52E-12,2.17E-12,1.61E-11,3.17E-12,2.11E-12,4.49E-12,8.91E-13,2.30E-12,2.52E-12,2.32E-12,20302375509,7256057950,66618965116,805355588.4,7835890283,39238100035,11126502116,33207676540,34487080719,24357787268,2.43512E+11,10547.63718,7391.949166,1958.393128,0.013646508,0.011560909,0.03636371,2.43512E+11,0.501967447,0.028112447
19,1968,31084638573,7231841367,598868366.3,10083806639,2505657856,1.76705E+11,29072018303,16901411984,17903374213,2.54626E+11,51189971454,4558947.983,3685459.824,3371157.677,2277316.059,1028137.987,47745.32562,241060.0321,725768.0449,1403969.219,847878.8767,245962.741,310127.6009,4174.546171,873488.1588,25807.21573,6520.450399,12276.02669,105886.3601,10769.83515,121251.588,256832.2344,131592.1653,5885.194916,143196.8034,53470.28479,2.53E-12,2.25E-12,2.35E-12,2.57E-12,8.27E-13,2.22E-12,5.41E-12,3.54E-12,2.98E-12,2.54E-12,2.35E-12,2.57E-12,8.27E-13,2.22E-12,5.41E-12,2.50E-12,3.75E-12,1.61E-12,2.25E-12,1.81E-11,3.40E-12,2.22E-12,5.17E-12,1.19E-12,2.47E-12,2.93E-12,2.54E-12,19201057147,8152693318,70951491816,870331100,9254809575,41319651899,11720069994,34399716480,35415946285,25600637648,2.54626E+11,10874.31064,7546.516661,2186.167156,0.030971245,0.020910249,0.11630659,2.54626E+11,0.524878011,0.045641533
20,1969,37601577946,8381480302,473925797,11288728676,3343866064,1.88602E+11,29874262653,19617720540,22107197368,2.75865E+11,61317068782,5175646.334,4350920.164,4054621.017,2755310.97,1442774.462,58833.60433,182534.3249,789340.728,1592394.96,1080429.126,218880.921,293084.9129,3214.234545,824726.1695,27209.73863,7009.262488,17796.63555,135684.7446,24872.42389,150879.307,88739.43322,111081.1134,6804.838259,210312.4711,44336.20136,2.75E-12,2.57E-12,2.55E-12,2.57E-12,7.17E-13,2.39E-12,5.28E-12,3.56E-12,3.16E-12,2.74E-12,2.55E-12,2.57E-12,7.17E-13,2.39E-12,5.28E-12,2.65E-12,4.21E-12,1.86E-12,2.34E-12,1.77E-11,3.72E-12,2.38E-12,5.67E-12,1.47E-12,2.70E-12,3.01E-12,2.74E-12,20253746905,8954332985,78639241363,948176744.7,11023835772,45603196446,12533441317,35642701920,36323133704,27967807835,2.75865E+11,11611.85821,7938.749325,2580.994534,0.067824766,0.051975326,0.180602557,2.75865E+11,0.568657992,0.083409821
21,1970,40018129007,8377407294,473695491.2,11998406323,3554081676,1.97392E+11,30098228199,21018528489,22018566269,2.90045E+11,64720869663,4184635.097,3341704.722,2996037.069,1441522.791,1242994.34,30082.70762,168445.743,803060.2726,1888866.218,1260219.641,294294.638,334351.9395,11315.71317,842930.3753,32598.3571,16289.54462,42923.11714,102325.1002,21749.04682,134120.0773,96569.37726,113306.7521,8194.500742,236319.2469,38535.25513,3.04E-12,3.02E-12,2.90E-12,2.56E-12,8.02E-13,2.28E-12,5.86E-12,3.85E-12,3.59E-12,3.03E-12,2.90E-12,2.56E-12,8.02E-13,2.28E-12,5.86E-12,2.88E-12,4.82E-12,1.86E-12,2.51E-12,1.72E-11,4.17E-12,2.49E-12,6.83E-12,1.88E-12,3.03E-12,3.12E-12,3.03E-12,21390526601,9563710581,83612000463,1054760116,12059038402,47481488744,13159224240,34206582739,37434072060,30399751020,2.90045E+11,12024.22664,8183.192702,2683.098082,0.035512699,0.03079117,0.039559769,2.90045E+11,0.597888323,0.051402303
22,1971,42884787856,8954558164,1207966663,13371582975,3670000377,2.07207E+11,31484583131,18920332144,24033376170,3.00941E+11,69680478854,4322811.982,3394203.422,3082926.562,1621378.16,828351.8691,54747.80945,162433.1904,484022.5567,1758401.134,1170262.33,291286.072,296852.7316,14424.12763,928608.5603,48219.86224,7317.045236,17137.52069,99350.57668,13193.28412,128681.8613,115212.2053,137527.1016,4870.732636,277896.8822,79201.48831,4.35E-12,4.12E-12,4.02E-12,3.27E-12,1.18E-12,2.95E-12,6.75E-12,5.45E-12,4.53E-12,4.29E-12,4.02E-12,3.27E-12,1.18E-12,2.95E-12,6.75E-12,3.84E-12,7.63E-12,2.35E-12,3.71E-12,2.18E-11,5.95E-12,3.58E-12,9.36E-12,2.78E-12,4.29E-12,3.53E-12,4.29E-12,21745342726,10311906715,88749714486,1153267414,12819867106,48811902383,13342493238,33983306587,38497213745,32040734855,3.00941E+11,12275.12865,8451.794468,2842.210959,0.020866374,0.03282359,0.059301923,3.00941E+11,0.620348864,0.03756645
